col1,col2,col3,DT_BASE
2013-01-31,0.0,0.0,201301
2013-01-31,0.56,103.26,201301
2013-02-28,0.0,0.0,201302
2013-02-28,0.45,36.49,201302
2013-03-31,0.0,0.0,201303
2013-03-31,0.51,30.74,201303
2013-04-30,0.0,0.0,201304
2013-04-30,0.57,4.98,201304
2013-05-31,0.0,0.0,201305
2013-05-31,0.56,25.56,201305
2013-06-30,0.0,0.0,201306
2013-06-30,0.56,17.6,201306
2013-07-31,0.0,0.0,201307
2013-07-31,0.68,8.73,201307
2013-08-31,0.0,0.0,201308
2013-08-31,0.66,-53.18,201308
2013-09-30,0.0,0.0,201309
2013-09-30,0.67,122.5,201309
2013-10-31,0.0,0.0,201310
2013-10-31,0.77,92.87,201310
2013-11-30,0.0,0.0,201311
2013-11-30,0.67,18.77,201311
2013-12-31,0.0,0.0,201312
2013-12-31,0.74,24.68,201312
2014-01-31,0.0,0.0,201401
2014-01-31,0.8,20.57,201401
2014-02-28,0.0,0.0,201402
2014-02-28,0.74,27.16,201402
2014-03-31,0.0,0.0,201403
2014-03-31,0.72,65.57,201403
2014-04-30,0.0,0.0,201404
2014-04-30,0.77,9.45,201404
2014-05-31,0.0,0.0,201405
2014-05-31,0.82,13.04,201405
2014-06-30,0.0,0.0,201406
2014-06-30,0.78,13.84,201406
2014-07-31,0.0,0.0,201407
2014-07-31,0.9,20.34,201407
2014-08-31,0.0,0.0,201408
